,text_tokenized
0,"['plus', 'youve', 'add', 'commercials', 'experience', 'tacky']"
1,"['yes', 'nearly', 'every', 'time', 'fly', 'ear', 'worm', 'wont', 'away']"
2,"['well', 'didntbut', 'now']"
3,"['amaze', 'arrive', 'hour', 'early', 'youre', 'good']"
4,"['pretty', 'graphics', 'better', 'minimal', 'iconography']"
5,"['great', 'deal', 'already', 'think', '2nd', 'trip', 'havent', 'even', 'go', '1st', 'trip', 'yet']"
6,"['fly', 'sky', 'take', 'away', 'travel']"
7,['thank']
8,"['excite', 'first', 'cross', 'country', 'lax', 'mco', 'ive', 'hear', 'nothing', 'great', 'things']"
9,['fly']
10,"['know', 'amazingly', 'awesome', 'bosfll', 'please', 'want', 'fly']"
11,"['love', 'graphic']"
12,"['love', 'hipster', 'innovation', 'feel', 'good', 'brand']"
13,"['great', 'news', 'start', 'hawaii', 'end', 'year', 'via']"
14,"['moodlighting', 'way', 'fly', 'experience', 'cool', 'calm']"
15,"['around', 'hand']"
16,"['view', 'downtown', 'los', 'angeles', 'sign', 'beyond', 'rain', 'mountains']"
17,"['good', 'reason', 'rock']"
18,"['wow', 'blow', 'mind']"
19,"['julie', 'andrews', 'way', 'though', 'impressive']"
20,"['know', 'need', 'spotify', 'stat']"
21,"['lady', 'gaga', 'amaze']"
22,"['love', 'three', 'really', 'cant', 'beat', 'classics']"
23,"['congrats', 'win', 'award', 'deal']"
24,"['worry', 'great', 'ride', 'new', 'plane', 'great', 'crew', 'airlines']"
25,"['awesome', 'fly', 'yall', 'sit', 'morning', 'way', 'correct', 'bill']"
26,"['ive', 'apply', 'member', 'crew', 'teamim', 'interest']"
27,"['amaze', 'customer', 'service', 'raeann', 'shes']"
28,"['getaway', 'deal', 'may', 'oneway', 'lot', 'cool', 'cities']"
29,"['getaway', 'deal', 'may', 'oneway', 'lot', 'cool', 'cities']"
30,"['great', 'week']"
31,"['come', 'back', 'already', 'need', 'take', 'horrible', 'cold']"
32,"['fly', 'oneasy', 'change', 'representatives', 'comfortable', 'fly', 'experience']"
